Green Bond ISIN,Green Bond Name,Trucost Issuer ID, Issuer Name,Issuer GICS Sector / Category,Issuer Country of Origin,Issue Date,Creation Date,Latest Analysis Date,Nominal Amount,Currency,USD Reported Currency Exchange Rate,Maturity Date,Coupon (%),Labelling,Africa (% of UOP),Asia (% of UOP),Europe (% of UOP),North America (% of UOP),Oceania (% of UOP),South America (% of UOP),Undisclosed region (% of UOP),CBI Category,CBI - Green Proceeds (% of UOP),CBI - Renewable Electricity and Heat Production (% of UOP),CBI - Other Electricity and Heat Production (% of UOP),CBI - Nuclear Energy (%UOP),"CBI -  Transmission, distribution & storage (% of UOP)",CBI -  Transport (% of UOP),CBI -  Water (% of UOP),CBI -  Buildings (% of UOP),CBI -  Land Use and Marine Resources (% of UOP),CBI -  Industry (% of UOP),CBI -  Waste (% of UOP),CBI -  ICT (% of UOP),CBI - Others Green (% of UOP),CBI - Undisclosed/Not disbursed proceeds (% of UOP),CBI - Proceeds that are Not Green (% of UOP),Wind Energy (% of UOP),Solar Energy (% of UOP),Hydro Energy (% of UOP),Geothermal Energy (% of UOP),Wave/Tidal Energy (% of UOP),Cogeneration Energy (% of UOP),Bioenergy (% of UOP),Residential Buildings (% of UOP),Commercial Buildings (% of UOP),Energy Efficient Products (% of UOP),Industrial Efficiencies (% of UOP),National Rail (% of UOP),Urban Rail (% of UOP),Public Road Transport (% of UOP),Private Road Transport (% of UOP),Social (% of UOP),Total (GWh),Total Area (m2),Total Passenger (km),Total Energy savings (MWh),CBI - Renewable Electricity and Heat Production (GWh),CBI - Area (m2),CBI - Passenger (km),CBI - Energy savings (MWh),Annual Construction & Disposal emissions (tCO2e),Annual Operational emissions (tCO2e),Lifetime Construction & Disposal emissions (tCO2e),Lifetime Operational emissions (tCO2e),Lifetime emission intensity (tCO2e per GWh),Lifetime emission intensity (tCO2e per Area m2),Lifetime emission intensity (tCO2e per passenger km),Lifetime emission intensity (tCO2e per energy savings MWh),SDG 13 (13.2) Calculated Avoided Emissions Intensity (tCO2e/USD million invested),SDG 13 (13.2) Calculated Avoided Emissions Attributable to the bond (tCO2e),Use of Proceeds Covered by Calculated Avoided Emissions (%),SDG 13 (13.2) Disclosed Avoided Emissions Intensity (tCO2e/USD million invested),SDG 13 (13.2) Disclosed Avoided Emissions (tCO2e),Use of Proceeds Covered by Disclosed Avoided Emissions (%),Calculated Avoided Emissions - Confidence Level,Issuer Score,Impact Score,Use of Proceeds Covered by Impact Score (%),Overall Governance Score,Governance/UOP Score (%),Governance/Process Score (%),Governance/Management Score (%),Governance/Reporting Score (%),Sources
XS1912495691,0.625% SNR NTS 22/11/2027 EUR1000'100597,234773,International Bank for Reconstruction and Development,Financials,United States,20-11-18,17-06-21,17-06-21,600,EUR,1.14,22-11-27,0.63,Green,7,68,4,8,0,14,0,Transport,100,11,0,0,4,30,8,1,17,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-1387,-832108,,NA,NA,52,,100,100,100,100,100,https://treasury.worldbank.org/en/about/unit/treasury/ibrd/ibrd-green-bonds#2
XS1743657683,3.5% GTD SNR MTN 10/01/28 USD200000'026',144513,Swire Properties MTN Financing Limited,Financials,Hong Kong,10/1/2018,12/7/2021,12/7/2021,500,USD,1,10/1/2028,3.5,Green,0,100,0,0,0,0,0,Buildings,100,0,0,0,0,0,0,96,0,0,0,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-16,-7870,,NA,35,56,,92,100,100,67,100,https://www.swireproperties.com/-/media/files/swireproperties/green-bond/swire-properties-green-finance-report-2020.ashx
US500630CQ96,SR NT FLTG RT 0.863 Jul-6-2022,243218,Korea Development Bank,Financials,South Korea,27-06-17,9/7/2021,9/7/2021,300,USD,1,6/7/2022,2.03,Green,0,15,53,15,0,17,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,67,24,0,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,NA,NA,NA,287,NA,NA,NA,8257,7114,41285,35568,24,NA,NA,NA,-431,-129348,,-518,-155400,,Low,NA,87,,92,100,100,67,100,https://www.kdb.co.kr/wcmscontents/pdf/2021_KDB_Investor_Newsletter.pdf
US47837RAA86,GLOBAL SR NT 1.750 Sep-15-2030,44219,Johnson Controls International plc,Industrials,Ireland,8/9/2020,9/8/2021,9/8/2021,625,USD,1,15-09-30,1.75,No sufficient information,0,0,0,0,0,0,100,No sufficient information,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,No sufficient information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,49,0,,42,0,100,67,0,https://www.johnsoncontrols.com/-/media/jci/corporate-sustainability/green-finance/jci-green-finance-framework-2020-final-v2.pdf?la=en&hash=356E6EB6F330FDAFF191B9B3D2C5DCBE95CA54FB
XS1972557737,0.5% SNR NTS 15/04/2023 EUR100000 'REGS',51978,"LG Chem, Ltd.",Materials,South Korea,15-04-19,9/8/2021,9/8/2021,500,EUR,1.15,15-04-23,0.5,Green,0,24,68,8,0,0,0,Transport,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,57,88,,80,75,100,100,43,https://www.lgchem.com/asset/doc/LG_Chem_2020_Green_Bond_Annual_Report_vf.pdf
XS2257961818,0.125% SNR EMTN 19/11/28 EUR1000'1''REGS,42811,UPM-Kymmene Oyj,Materials,Finland,19-11-20,11/8/2021,11/8/2021,750,EUR,1.2,19-11-28,0.13,Green,0,0,23,0,0,77,0,Land Use and Marine Resources,100,0,0,0,0,0,0,0,90,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-6664,-6000000,,NA,39,0,,100,100,100,100,100,https://www.upm.com/siteassets/asset/investors/debt/upm_green_bond_report_2020.pdf
XS1989375412,0.25% SNR NTS 02/05/2024 EUR100000'45643,46762,Royal Bank of Canada,Financials,Canada,5/2/2019,10/8/2021,23-09-21,500,EUR,1.15,2/5/2024,0.25,Green,0,0,18,0,0,0,82,Buildings,100,18,0,0,0,13,0,58,7,0,3,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,167189,NA,NA,2002,167189,NA,NA,14881,54149,74407,270746,28,5,NA,NA,-1312,-754808,,-904,-520086,,Low,70,70,,100,100,100,100,100,https://www.rbc.com/investor-relations/_assets-custom/pdf/RBC-Green-Bond-Report-2020.pdf
XS2230650405,0.375% SNR NTS 17/09/2030 SEK10000,91158,European Investment Bank,Financials,Luxembourg,17-09-20,21-10-21,22-10-21,1600,SEK,0.12,17-09-30,0.38,Green,0,0,61,2,0,37,0,Renewable Electricity and Heat Production,100,47,0,0,29,24,0,1,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,0,0,23,1,0,0,0,30,NA,47480157,NA,30,NA,47480157,NA,229,3428,2293,34275,31,NA,NA,NA,-132,-24803,,-120,-22473,,Moderate,97,59,,100,100,100,100,100,https://www.eib.org/attachments/fi/cab-impact-report-2020.xlsx
AU3CB0258739,2.9% SNR NTS 26/11/2025 AUD500000'100601,234773,International Bank for Reconstruction and Development,Financials,United States,26-11-18,26-10-21,27-10-21,300,AUD,0.71,26-11-25,2.9,Green,7,53,14,8,0,18,0,Transport,100,19,0,0,4,30,5,0,12,3,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-430,-91925,,NA,62,50,,83,100,100,33,100,https://issuu.com/jlim5/docs/world-bank-ibrd-impact-report-2020?mode=window
XS1980857319,1% SNR NTS 14/11/2042 EUR1000'2388/0100',91158,European Investment Bank,Financials,Luxembourg,9/4/2019,5/10/2021,22-10-21,500,EUR,1.15,14-11-42,1,Green,4,2,80,0,0,0,14,Transport,100,26,0,0,1,52,0,7,0,0,0,0,0,14,0,3,3,17,0,0,0,0,0,6,0,0,40,12,0,0,0,318,15106,97025428,NA,318,15106,97025428,NA,5863,28277,134840,650373,246,1,NA,NA,-149,-85783,,-239,-137539,,Moderate,97,66,,98,93,100,100,100,https://www.eib.org/attachments/fi/cab-impact-report-2020.xlsx
US98419MAM29,GLOBAL SR NT 1.950 Jan-30-2028,135832,Xylem Inc.,Industrials,United States,24-06-20,13-10-21,13-10-21,500,USD,1,30-01-28,1.95,Green,0,0,0,0,0,0,100,Others Green,100,0,0,0,0,0,47,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-508,-253931,,NA,76,46,,94,75,100,100,100,https://www.xylem.com/siteassets/sustainability/2021-green-bond--report.pdf
XS2021467753,0.9%-FRN SNR 02/07/2027 EUR1000'171'REGS,43046,Standard Chartered PLC,Financials,United Kingdom,2/7/2019,8/9/2021,11/10/2021,500,EUR,1.15,2/7/2027,0.9,Sustainable,4,5,0,0,0,0,91,Renewable Electricity and Heat Production,16,9,0,0,1,2,1,3,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-192,-110849,,NA,47,12,,73,58,100,33,100,https://av.sc.com/corp-en/content/docs/Sustainable-Finance-Impact-Report-Sept2020.pdf
CA748148RX35,CAD$ GLOBAL NT SER QU 2.600 Jul-6-2025,NA,Province of Quebec,Industrials,Canada,28-06-18,13-09-21,13-09-21,500,CAD,0.76,6/7/2025,2.6,Green,0,0,0,100,0,0,0,Transport,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-5,-1971,,NA,NA,70,,100,100,100,100,100,http://www.finances.gouv.qc.ca/documents/Autres/en/AUTEN_MFQ_OblVertes_Bulletin_Juillet2021.pdf
XS2066706735,1.125% GTD SNR EMTN 17/10/34 EUR1000'85',240766,Enel Finance International N.V.,Financials,Netherlands,17-10-19,17-09-21,20-09-21,500,EUR,1.16,17-10-34,1.13,No sufficient information,0,0,0,0,0,0,100,No sufficient information,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,27,0,,53,0,100,67,43,https://www.enel.com/content/dam/enel-com/documenti/investitori/sostenibilita/2020/sustainability-report_2020.pdf; https://www.enel.com/content/dam/enel-common/press/en/2019-October/EURO%20SDG%20Bond%20ENG.pdf; https://www.enel.com/content/dam/enel-com/documenti/investitori/investire-in-enel/programmi-principali/en/sustainability-linked-financing-framework_january2021.pdf
AU3CB0265239,1.5% GTD SNR MTN 24/07/24 AUD500000'REGS,89834,KfW,Financials,Germany,24-07-19,20-09-21,20-09-21,450,AUD,0.71,24-07-24,1.5,Green,0,0,100,0,0,0,0,Buildings,100,21,0,0,0,0,0,79,0,0,0,0,0,0,0,15,6,0,0,0,0,0,79,0,0,0,0,0,0,0,0,71,132022,NA,NA,71,132022,NA,NA,3458,9636,17291,48179,94,4,NA,NA,-80,-25618,,-156,-50018,,Moderate,38,77,,77,75,100,33,100,https://www.kfw.de/PDF/Investor-Relations/PFD-Dokumente-Green-Bonds/KfW-Green-Bond-Allocation-Report-2019-2.pdf 
US65364UAN63,SR NT RULE 144A 1.960 Jun-27-2030,239049,Niagara Mohawk Power Corporation,Utilities,United States,23-06-20,10/9/2021,11/10/2021,600,USD,1,27-06-30,1.96,Green,0,0,0,100,0,0,0,Renewable Electricity and Heat Production,100,94,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-581,-348822,,NA,67,81,,94,75,100,100,100,https://www.nationalgrid.com/sites/default/files/documents/21%20Dec%202020-%202020%20Green%20Financing%20Report.pdf
IT0005438004,1.5% SNR BDS 30/04/2045 EUR1000 'REGS',NA,Italy,Industrials,Italy,10/3/2021,28-09-21,28-09-21,8500,EUR,1.19,30-04-45,1.5,Green,0,0,100,0,0,0,0,Transport,100,1,0,0,0,55,0,23,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,78,50,,59,75,100,33,29,http://www.dt.mef.gov.it/export/sites/sitodt/modules/documenti_en/debito_pubblico/presentazioni_studi_relazioni/Green_Bond_GCI_Presentation_x01.03.2021x.pdf
ES0000012J07,1% BDS 30/07/2042 EUR1000,NA,Spain,Industrials,Spain,14-09-21,13-10-21,14-10-21,5000,EUR,1.16,30-07-42,1,Green,0,0,100,0,0,0,0,Transport,100,4,0,0,0,72,12,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,72,55,,69,75,100,100,0,https://www.tesoro.es/sites/default/files/Presentacion/210727_tesoro_green_bond_ppt_v16.pdf
FR00140005R4,0.7% SNR EMTN 15/10/60 EUR100000'12'REGS,241368,Société du Grand Paris,Industrials,France,15-10-20,14-10-21,14-10-21,3000,EUR,1.19,15-10-60,0.7,Green,0,0,20,0,0,0,80,Undisclosed/Not disbursed proceeds,100,0,0,0,0,20,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-95,-341357,,NA,NA,45,,90,60,100,100,100,https://media-mediatheque.societedugrandparis.fr/pm_1_148_148566-k9ia34k73s.pdf
CA68321ZAC55,FR 4.248%011849,243899,Ontario Power Generation Inc.,Utilities,Canada,16-01-19,16-10-21,17-10-21,500,CAD,0.76,18-01-49,4.25,Green,0,0,0,99,0,0,1,Renewable Electricity and Heat Production,100,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4042,4027,121275,120807,9,NA,NA,NA,-1041,-398121,,-1765,-675000,,Low,NA,96,,94,75,100,100,100,https://www.opg.com/documents/2020-green-bond-impact-report/
CA68321ZAG69,FR 3.215%040830,243899,Ontario Power Generation Inc.,Utilities,Canada,2/4/2020,16-10-21,17-10-21,800,CAD,0.77,8/4/1930,3.22,Green,0,0,0,100,0,0,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,NA,NA,NA,1096,NA,NA,NA,7452,8789,74524,87894,17,NA,NA,NA,-756,-468351,,-1217,-754408,,Low,NA,96,,100,100,100,100,100,https://www.opg.com/documents/2021-green-bond-impact-report-pdf/
FR0014002JM6,0.5% BDS 25/06/2044 EUR1 'REGS',NA,France,Industrials,France,23-03-21,14-10-21,18-10-21,7000,EUR,1.19,25-06-44,0.5,Green,0,0,100,0,0,0,0,Buildings,100,14,0,0,0,20,0,33,23,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,87,45,,59,75,100,33,29,https://www.aft.gouv.fr/en/publications/communiques-presse/20210316-launch-new-green-oat
US46647PBS48,GLOBAL NT FIXED/FLTG RT 0.653 Sep-16-2024,44218,JPMorgan Chase & Co.,Financials,United States,9/9/2020,14-10-21,14-10-21,1000,USD,1,16-09-24,0.65,Green,0,0,0,100,0,0,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,88,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522,NA,NA,NA,2522,NA,NA,NA,12545,55138,50180,220553,40,NA,NA,NA,-1100,-1100473,,-1920,-1919705,,Moderate ,79,88,,94,75,100,100,100,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/green-bond-annual-report-2021.pdf
US45950VHX73,FR 2.125%040726,NA,International Finance Corporation,Financials,United States,7/4/2016,10/9/2021,10/9/2021,700,USD,1,7/4/2026,2.13,Green,11,47,6,4,0,30,2,Others Green,100,18,0,0,0,2,0,23,0,0,0,0,57,0,0,9,6,0,0,0,0,4,1,22,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-1442,-1009154,,NA,NA,35,,83,100,100,33,100,https://www.ifc.org/wps/wcm/connect/c3498810-6b35-4ba8-8245-15d8bfa0c8e3/201710-IFC-Green-Bond-Impact-Report-FY17-v2.pdf?MOD=AJPERES&CVID=nx64QHd
US71567RAL06,PERUSAHAAN PENERBIT SBSN INDON FR 3.9%082024                  ,NA,Perusahaan Penerbit SBSN Indonesia III,Financials,Indonesia,12/2/2019,18-10-21,18-10-21,750,USD,1,20-08-24,3.9,Green,0,100,0,0,0,0,0,Transport,100,4,0,0,0,48,0,0,0,0,9,0,39,0,0,0,0,0,0,0,0,0,0,0,28,0,48,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-5972,-4479368,,NA,27,53,,100,100,100,100,100,https://djppr.kemenkeu.go.id/uploads/files/dmodata/in/6Publikasi/Offering%20Circular/Green%20Sukuk%20Allocation%20and%20Impact%20Report_2021%20FINAL.pdf
